Subject;Meet;Tempo;logTime
1;Zoom;341;5,8318824772835
2;Zoom;291;5,6733232671715
3;Zoom;283;5,6454468976432
4;Zoom;155;5,0434251169193
5;Zoom;271;5,6021188208797
6;Zoom;270;5,5984219589984
7;Zoom;250;5,5214609178623
8;Zoom;272;5,6058020662960
9;Zoom;209;5,3423342519648
10;Zoom;236;5,4638318050256
11;Zoom;295;5,6869753563398
12;Zoom;214;5,3659760150219
13;Zoom;443;6,0935697700451
14;Zoom;632;6,4488893941469
15;Zoom;310;5,7365722974792
16;Zoom;334;5,8111409929767
17;Zoom;376;5,9295891433899
18;Zoom;305;5,7203117766074
19;Zoom;216;5,3752784076842
20;Zoom;339;5,8260001073805
21;Hangout;806;6,6920837425066
22;Hangout;415;6,0282785202307
23;Hangout;389;5,9635793436185
24;Hangout;317;5,7589017738773
25;Hangout;283;5,6454468976432
26;Hangout;865;6,7627295069319
27;Hangout;298;5,6970934865054
28;Hangout;952;6,8585650347914
29;Hangout;443;6,0935697700451
30;Hangout;379;5,9375362050824
31;Hangout;562;6,3315018498937
32;Hangout;362;5,8916442118258
33;Hangout;275;5,6167710976666
34;Hangout;398;5,9864520052844
35;Hangout;706;6,5596152374932
36;Hangout;496;6,2065759267249
37;Hangout;656;6,4861607889441
38;Hangout;285;5,6524891802687
39;Hangout;232;5,4467373716663
40;Hangout;244;5,4971682252932
